date,open,high,low,close,volume,money,open_interest
2016-12-12,96.4,96.4,95.66,95.66,305.0,293077500.0,250.0
2016-12-13,95.795,95.795,95.315,95.46,178.0,169959000.0,352.0
2016-12-14,95.61,95.705,95.115,95.21,180.0,171690400.0,470.0
2016-12-15,94.9,94.9,93.285,93.285,1017.0,951322550.0,708.0
2016-12-16,93.385,94.295,93.05,94.295,373.0,349732950.0,765.0
2016-12-19,93.995,93.995,92.87,93.04,563.0,524959000.0,967.0
2016-12-20,92.8,93.37,92.035,93.3,476.0,441698800.0,972.0
2016-12-21,93.835,94.875,93.685,94.845,330.0,310912350.0,938.0
2016-12-22,94.81,95.38,94.52,95.38,272.0,258456500.0,965.0
2016-12-23,95.13,95.35,94.87,94.995,149.0,141663200.0,948.0
2016-12-26,94.61,95.06,94.405,94.905,105.0,99644450.0,959.0
2016-12-27,94.805,94.855,94.435,94.495,78.0,73880000.0,957.0
2016-12-28,94.5,94.86,94.49,94.81,129.0,122236700.0,961.0
2016-12-29,94.91,95.635,94.91,95.635,212.0,202266950.0,941.0
2016-12-30,95.86,96.02,95.33,95.395,282.0,269873200.0,905.0
2017-01-03,95.58,95.58,95.17,95.315,84.0,80094700.0,921.0
2017-01-04,95.135,95.37,94.84,94.865,148.0,140674500.0,967.0
2017-01-05,94.775,95.195,94.635,95.16,161.0,152764600.0,994.0
2017-01-06,95.49,95.5,95.175,95.325,184.0,175451100.0,970.0
2017-01-09,95.875,95.875,95.18,95.615,151.0,144062200.0,957.0
2017-01-10,95.805,95.825,95.58,95.58,135.0,129186850.0,939.0
2017-01-11,95.505,95.52,95.24,95.33,48.0,45781850.0,961.0
2017-01-12,95.54,95.64,95.385,95.385,74.0,70676200.0,954.0
2017-01-13,95.455,95.515,95.32,95.425,87.0,83003450.0,964.0
2017-01-16,95.51,95.6,94.7,94.7,266.0,252711150.0,998.0
2017-01-17,94.605,94.665,94.275,94.405,276.0,260647250.0,1102.0
2017-01-18,94.5,94.715,94.4,94.41,182.0,172121150.0,1131.0
2017-01-19,94.405,94.75,94.2,94.675,170.0,160552050.0,1162.0
2017-01-20,94.725,95.015,94.565,94.92,233.0,220784300.0,1173.0
2017-01-23,94.815,94.915,94.665,94.76,87.0,82430850.0,1179.0
2017-01-24,94.815,95.0,94.005,94.005,442.0,418661450.0,1271.0
2017-01-25,94.005,94.005,93.425,93.68,614.0,574760150.0,1548.0
2017-01-26,93.765,93.955,93.24,93.405,200.0,186984700.0,1623.0
2017-02-03,93.495,93.57,92.045,92.565,1080.0,999892300.0,2131.0
2017-02-06,92.5,92.8,92.345,92.345,623.0,576839100.0,2335.0
2017-02-07,92.245,92.755,92.14,92.665,810.0,749437400.0,2485.0
2017-02-08,92.77,93.21,92.755,93.21,645.0,599661650.0,2463.0
2017-02-09,93.3,93.625,93.265,93.555,841.0,786111400.0,2464.0
2017-02-10,93.49,93.49,93.27,93.345,374.0,349300800.0,2490.0
2017-02-13,93.47,94.085,93.265,93.735,821.0,768256000.0,2491.0
2017-02-14,93.7,93.86,93.305,93.495,596.0,557659350.0,2657.0
2017-02-15,93.305,93.435,93.185,93.26,537.0,500941650.0,2742.0
2017-02-16,93.395,93.93,93.36,93.93,647.0,605523500.0,2847.0
2017-02-17,93.95,94.235,93.79,94.005,1083.0,1018185350.0,2833.0
2017-02-20,94.49,94.5,94.1,94.44,804.0,758312850.0,2850.0
2017-02-21,94.405,94.405,93.805,93.88,1054.0,991684750.0,3095.0
2017-02-22,93.75,94.41,93.695,94.4,1208.0,1136711500.0,3106.0
2017-02-23,94.4,94.76,94.205,94.51,1357.0,1282805850.0,3295.0
2017-02-24,94.495,94.9,94.4,94.66,2045.0,1936591000.0,3686.0
2017-02-27,94.79,95.115,94.51,94.565,1222.0,1159381600.0,3786.0
2017-02-28,94.49,94.855,94.48,94.775,826.0,781681700.0,3792.0
2017-03-01,94.775,94.775,94.165,94.195,2233.0,2109051650.0,4223.0
2017-03-02,94.1,94.28,93.95,94.1,1064.0,1001388800.0,4423.0
2017-03-03,94.105,94.28,93.93,93.96,1196.0,1125112900.0,4767.0
2017-03-06,93.955,94.03,93.755,93.83,1518.0,1425002350.0,4903.0
