date,open,high,low,close,volume,money,open_interest
2016-06-14,99.655,99.655,99.54,99.575,76.0,75674050.0,64.0
2016-06-15,99.56,99.58,99.5,99.58,127.0,126412850.0,177.0
2016-06-16,99.75,99.78,99.425,99.735,131.0,130552200.0,292.0
2016-06-17,99.735,99.87,99.715,99.835,89.0,88804050.0,369.0
2016-06-20,99.78,99.855,99.78,99.845,16.0,15972700.0,381.0
2016-06-21,99.82,99.925,99.82,99.925,172.0,171760950.0,460.0
2016-06-22,99.935,100.04,99.92,100.0,37.0,36998650.0,485.0
2016-06-23,99.995,100.07,99.995,100.04,97.0,97018600.0,506.0
2016-06-24,100.135,100.35,100.135,100.25,45.0,45114150.0,542.0
2016-06-27,100.49,100.51,100.39,100.48,303.0,304375300.0,815.0
2016-06-28,100.47,100.52,100.28,100.31,413.0,414993900.0,1076.0
2016-06-29,100.32,100.395,100.21,100.265,210.0,210609500.0,1052.0
2016-06-30,100.29,100.32,100.225,100.285,71.0,71206600.0,1079.0
2016-07-01,100.33,100.41,100.295,100.41,25.0,25083300.0,1082.0
2016-07-04,100.395,100.405,100.24,100.24,57.0,57202900.0,1050.0
2016-07-05,100.33,100.33,100.215,100.22,16.0,16039350.0,1061.0
2016-07-06,100.255,100.365,100.255,100.315,60.0,60206400.0,1089.0
2016-07-07,100.365,100.47,100.34,100.425,20.0,20083600.0,1093.0
2016-07-08,100.44,100.545,100.38,100.505,33.0,33145900.0,1107.0
2016-07-11,100.475,100.49,100.395,100.41,15.0,15064350.0,1115.0
2016-07-12,100.34,100.37,100.295,100.295,28.0,28091050.0,1134.0
2016-07-13,100.25,100.3,100.22,100.225,29.0,29072600.0,1150.0
2016-07-14,100.31,100.32,100.24,100.24,40.0,40116150.0,1150.0
2016-07-15,100.205,100.375,100.155,100.35,25.0,25075850.0,1168.0
2016-07-18,100.44,100.445,100.315,100.335,53.0,53193150.0,1182.0
2016-07-19,100.32,100.42,100.32,100.375,17.0,17063950.0,1185.0
2016-07-20,100.43,100.63,100.415,100.595,52.0,52286350.0,1199.0
2016-07-21,100.675,100.765,100.57,100.57,58.0,58407700.0,1212.0
2016-07-22,100.595,100.705,100.595,100.685,35.0,35232300.0,1229.0
2016-07-25,100.595,100.665,100.595,100.62,205.0,206309600.0,1346.0
2016-07-26,100.62,100.77,100.62,100.725,65.0,65435450.0,1392.0
2016-07-27,100.765,100.765,100.51,100.51,99.0,99667750.0,1447.0
2016-07-28,100.71,100.83,100.68,100.83,43.0,43324250.0,1451.0
2016-07-29,100.79,100.85,100.735,100.78,46.0,46363000.0,1455.0
2016-08-01,100.745,100.82,100.74,100.79,74.0,74585350.0,1495.0
2016-08-02,100.775,100.905,100.77,100.88,484.0,487924850.0,1788.0
2016-08-03,100.93,100.97,100.85,100.85,335.0,338137050.0,2005.0
2016-08-04,100.905,100.94,100.88,100.94,255.0,257323400.0,2187.0
2016-08-05,100.995,101.145,100.98,101.125,118.0,119238550.0,2257.0
2016-08-08,101.08,101.17,101.075,101.145,59.0,59661400.0,2269.0
2016-08-09,101.185,101.285,101.185,101.23,303.0,306760650.0,2448.0
2016-08-10,101.34,101.41,101.18,101.19,672.0,680786650.0,2809.0
2016-08-11,101.2,101.295,101.18,101.285,241.0,243947600.0,2890.0
2016-08-12,101.25,101.44,101.19,101.385,282.0,285753300.0,2905.0
2016-08-15,101.45,101.625,101.435,101.495,373.0,378694950.0,3057.0
2016-08-16,101.465,101.54,101.41,101.42,459.0,465796750.0,3325.0
2016-08-17,101.385,101.42,101.335,101.375,291.0,295031000.0,3492.0
2016-08-18,101.45,101.46,101.305,101.365,422.0,427780050.0,3703.0
2016-08-19,101.33,101.335,101.155,101.205,348.0,352409000.0,3850.0
2016-08-22,101.2,101.3,101.18,101.3,141.0,142768850.0,3833.0
2016-08-23,101.265,101.265,101.04,101.09,318.0,321683900.0,3933.0
2016-08-24,101.01,101.165,101.005,101.07,270.0,272888700.0,4015.0
2016-08-25,101.135,101.185,101.045,101.075,101.0,102101650.0,4021.0
2016-08-26,101.105,101.22,101.055,101.215,81.0,81926300.0,4011.0
2016-08-29,101.155,101.155,101.085,101.105,112.0,113237700.0,4002.0
2016-08-30,101.105,101.13,100.94,100.945,245.0,247507600.0,4113.0
2016-08-31,100.95,101.015,100.93,100.995,151.0,152503100.0,4109.0
2016-09-01,100.995,101.015,100.885,100.985,236.0,238212000.0,4144.0
2016-09-02,101.07,101.08,100.955,100.99,138.0,139405550.0,4146.0
2016-09-05,100.97,100.995,100.935,100.965,95.0,95912100.0,4148.0
2016-09-06,100.95,101.025,100.92,100.945,94.0,94914550.0,4169.0
2016-09-07,101.01,101.01,100.88,100.91,66.0,66613450.0,4173.0
2016-09-08,100.925,101.05,100.91,101.04,155.0,156522700.0,4182.0
2016-09-09,101.015,101.15,100.99,101.095,146.0,147578050.0,4193.0
2016-09-12,100.99,101.025,100.93,100.96,163.0,164572400.0,4250.0
2016-09-13,100.97,101.1,100.97,101.08,208.0,210196250.0,4270.0
2016-09-14,101.04,101.185,101.025,101.1,321.0,324463700.0,4311.0
2016-09-19,101.07,101.14,101.035,101.11,72.0,72794000.0,4323.0
2016-09-20,101.145,101.225,101.145,101.15,201.0,203374700.0,4342.0
2016-09-21,101.135,101.185,101.1,101.155,290.0,293285050.0,4290.0
2016-09-22,101.205,101.235,101.155,101.18,245.0,247949650.0,4368.0
2016-09-23,101.23,101.28,101.195,101.23,140.0,141732950.0,4376.0
2016-09-26,101.25,101.31,101.225,101.295,251.0,254188750.0,4402.0
2016-09-27,101.285,101.33,101.26,101.305,292.0,295773800.0,4371.0
2016-09-28,101.3,101.325,101.255,101.32,286.0,289682100.0,4371.0
2016-09-29,101.335,101.34,101.285,101.325,239.0,242139300.0,4366.0
2016-09-30,101.345,101.36,101.315,101.335,163.0,165178750.0,4396.0
2016-10-10,101.375,101.525,101.375,101.5,169.0,171512650.0,4441.0
2016-10-11,101.47,101.515,101.43,101.475,662.0,671757950.0,4465.0
2016-10-12,101.46,101.46,101.37,101.415,167.0,169372800.0,4483.0
2016-10-13,101.405,101.515,101.39,101.495,192.0,194819350.0,4486.0
2016-10-14,101.48,101.535,101.42,101.525,199.0,201984700.0,4490.0
