date,open,high,low,close,volume,money,open_interest
2023-06-12,96.66,96.94,96.66,96.88,255.0,246901600.0,87.0
2023-06-13,97.17,97.4,97.05,97.26,316.0,307230900.0,155.0
2023-06-14,97.75,97.75,97.39,97.45,404.0,393852000.0,206.0
2023-06-15,97.35,97.35,96.9,96.98,258.0,250547500.0,277.0
2023-06-16,96.9,96.9,96.46,96.69,334.0,322728600.0,353.0
2023-06-19,96.7,96.73,96.27,96.5,167.0,161241200.0,403.0
2023-06-20,96.57,96.72,96.51,96.61,117.0,113018400.0,399.0
2023-06-21,96.7,96.87,96.7,96.79,72.0,69681900.0,409.0
2023-06-26,96.87,97.04,96.86,96.97,143.0,138674800.0,412.0
2023-06-27,96.89,96.89,96.73,96.84,118.0,114271300.0,423.0
2023-06-28,97.02,97.04,96.85,97.03,169.0,163841100.0,413.0
2023-06-29,96.89,97.06,96.86,96.99,187.0,181395700.0,421.0
2023-06-30,97.13,97.32,97.06,97.3,171.0,166108400.0,427.0
